row,col,NORTH,SOUTH,EAST,WEST
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.5985785200755633,0.0,0.0
1,5,0.0,2.2116474014700205,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.746273922907152,0.0
2,4,0.0,0.0,4.000360307181563,0.0
2,5,0.0,0.0,0.0,0.0
3,1,0.0,1.6414440574829325,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,1.9929407687776077,0.0,0.0
3,4,0.7260559227995576,0.0,1.696584480045795,0.0
3,5,5.410855609840353,0.0,0.0,0.0
4,1,0.0,5.276824851479389,0.0,0.0
4,2,0.0,0.16867786811814534,1.1502138955155388,0.21250472829994482
4,3,0.0,5.986178718992349,0.0,0.0
4,4,0.0,1.225217866550899,0.0,1.5132788452961377
4,5,1.7051101043156882,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,3.2661831259845107,3.8115982401752104
5,3,0.0,0.0,0.0,0.1247677145385459
5,4,0.0,0.0,0.0,5.98644766877851
5,5,0.0,0.0,0.0,1.993219056366546
